attraction_marshrut_bolshogo_kanona_yablonevyy_brod	Маршрут Большого каньона	Большой каньон Крыма	район села Соколиное и Большого каньона Крыма	44.5247	34.0116
attraction_svyato_uspenskiy_peshchernyy_monastyr	Свято-Успенский пещерный монастырь	Бахчисарай	ущелье Марьям-Дере, Бахчисарай	44.7489	33.9101
attraction_forosskaya_cerkov_voskreseniya	Форосская церковь	Форос	Красная скала над Форосом	44.4046	33.7879
attraction_ruiny_pantikapeya	Руины Пантикапея	Керчь	гора Митридат, центр Керчи	45.3512	36.4721
attraction_pamyatnik_zatoplennym_korablyam	Памятник затопленным кораблям	Севастополь	Приморский бульвар, Севастопольская бухта	44.618333	33.524444
attraction_malahov_kurgan_memorial	Малахов курган	Севастополь	Корабельная сторона, Севастополь	44.6039	33.5482
attraction_sapun_gora_diorama_memorial	Сапун-гора	Севастополь	Ялтинское шоссе, район Сапун-горы	44.552	33.584
attraction_krymskiy_kerchenskiy_most	Крымский мост	Керчь	Керченский пролив, подъезды со стороны Керчи и Тамани	45.273	36.55
attraction_melek_chesmenskiy_kurgan	Мелек-Чесменский курган	Керчь	Керчь, район автовокзала и реки Мелек-Чесме	45.3648	36.4869
attraction_hanskoe_kladbishche_bakhchisaray	Ханское кладбище Бахчисарая	Бахчисарай	территория Ханского дворца, Бахчисарай	44.7482	33.8811
attraction_mayak_mysa_sarych	Маяк мыса Сарыч	Форос	район мыса Сарыч между Форосом и Ласпи	44.3872	33.7387
attraction_inkermanskiy_peshchernyy_monastyr	Инкерманский пещерный монастырь	Инкерман	Симферопольское шоссе, 17, Инкерман	44.60432	33.60776
attraction_svyato_georgievskiy_monastyr_fiolent	Свято-Георгиевский монастырь	Фиолент	мыс Фиолент, район Яшмового пляжа	44.505185	33.510334
attraction_kosmo_damianovskiy_monastyr	Косьмо-Дамиановский монастырь	Крымский заповедник	район источника Савлух-Су, Крымский природный заповедник	44.7425	34.362222
attraction_vladimirskiy_sobor_usypalnitsa_admiralov	Владимирский собор — усыпальница адмиралов	Севастополь	ул. Суворова, 3, Севастополь	44.610389	33.523472
attraction_armyanskaya_cerkov_svyatoy_ripsime_yalta	Армянская церковь Святой Рипсиме	Ялта	ул. Загородная, 3, Ялта	44.501175	34.165314
attraction_mechet_dzhuma_dzhami_evpatoriya	Мечеть Джума-Джами	Евпатория	ул. Революции, 36, Евпатория	45.195966	33.377369
attraction_tekie_dervishey_evpatoriya	Текие дервишей	Евпатория	ул. Караева, 18, Евпатория	45.199515	33.380578
attraction_peshchernyy_monastyr_shuldan	Пещерный монастырь Шулдан	Терновка	скальный массив Шулдан, район села Терновка	44.591267	33.771793
attraction_monastyr_surb_hach_stary_krym	Монастырь Сурб-Хач	Старый Крым	лесная дорога рядом со Старым Крымом	45.000459	35.062593
attraction_bolshaya_mitridatskaya_lestnitsa	Большая Митридатская лестница	Керчь	центр Керчи, подъём на гору Митридат	45.351	36.472
attraction_buhta_laspi	Бухта Ласпи	Ласпи	район бухты Ласпи, трасса Ялта - Севастополь	44.410184	33.702472
attraction_buhta_batiliman	Бухта Батилиман	Батилиман	урочище Батилиман, между бухтой Ласпи и мысом Айя	44.420163	33.68349
attraction_buhty_novogo_sveta	Бухты Нового Света	Новый Свет	посёлок Новый Свет, бухты у тропы Голицына	44.821834	34.9116
attraction_ozero_donuzlav	Озеро Донузлав	Донузлав	озеро Донузлав, западный Крым	45.351048	33.024427
